2025-11-09 00:31:42.169 [http-nio-8080-exec-10] INFO  com.itheima.service.impl.EmpServiceImpl-登陆成功:Emp(id=2, username=songjiang, password=null, name=宋江, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-11-09 00:31:53.056 [http-nio-8080-exec-9] INFO  com.itheima.controller.DeptController-新增部门: Dept(id=null, name=test, createTime=2025-11-09T00:31:53.022066, updateTime=2025-11-09T00:31:53.022194)
2025-11-09 00:31:53.060 [http-nio-8080-exec-9] INFO  com.itheima.aop.OperationLogAspect-记录操作日志：OperateLog(id=null, operateEmpId=1, operateTime=2025-11-09T00:31:53.058080, className=com.itheima.controller.DeptController, methodName=add, methodParams=[Dept(id=null, name=test, createTime=2025-11-09T00:31:53.022066, updateTime=2025-11-09T00:31:53.022194)], returnValue=Result(code=1, msg=success, data=null), costTime=37)
2025-11-09 00:31:53.115 [http-nio-8080-exec-2] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-11-09 00:32:03.121 [http-nio-8080-exec-1] DEBUG o.s.jdbc.support.JdbcTransactionManager-Creating new transaction with name [com.itheima.service.impl.DeptServiceImpl.deleteById]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT,-java.lang.Exception
2025-11-09 00:32:03.124 [http-nio-8080-exec-1] DEBUG o.s.jdbc.support.JdbcTransactionManager-Acquired Connection [HikariProxyConnection@972778071 wrapping com.mysql.cj.jdbc.ConnectionImpl@11fd981e] for JDBC transaction
2025-11-09 00:32:03.127 [http-nio-8080-exec-1] DEBUG o.s.jdbc.support.JdbcTransactionManager-Switching JDBC Connection [HikariProxyConnection@972778071 wrapping com.mysql.cj.jdbc.ConnectionImpl@11fd981e] to manual commit
2025-11-09 00:32:03.137 [http-nio-8080-exec-1] DEBUG o.s.jdbc.support.JdbcTransactionManager-Initiating transaction commit
2025-11-09 00:32:03.138 [http-nio-8080-exec-1] DEBUG o.s.jdbc.support.JdbcTransactionManager-Committing JDBC transaction on Connection [HikariProxyConnection@972778071 wrapping com.mysql.cj.jdbc.ConnectionImpl@11fd981e]
2025-11-09 00:32:03.140 [http-nio-8080-exec-1] DEBUG o.s.jdbc.support.JdbcTransactionManager-Releasing JDBC Connection [HikariProxyConnection@972778071 wrapping com.mysql.cj.jdbc.ConnectionImpl@11fd981e] after transaction
2025-11-09 00:32:03.140 [http-nio-8080-exec-1] INFO  com.itheima.controller.DeptController-根据ID删除部门: 11
2025-11-09 00:32:03.140 [http-nio-8080-exec-1] INFO  com.itheima.aop.OperationLogAspect-记录操作日志：OperateLog(id=null, operateEmpId=1, operateTime=2025-11-09T00:32:03.140714, className=com.itheima.controller.DeptController, methodName=delete, methodParams=[11], returnValue=Result(code=1, msg=success, data=null), costTime=31)
2025-11-09 00:32:03.156 [http-nio-8080-exec-3] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-11-09 00:33:18.732 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-11-09 00:33:18.741 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-11-09 00:33:18.747 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-11-09 00:33:18.755 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-11-09 00:51:59.571 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.17 with PID 549 (/Users/ykw/Documents/WebApp/IdeaProj/web-ai-proj02/tlias-web-management/target/classes started by ykw in /Users/ykw/Documents/WebApp/IdeaProj/web-ai-proj02)
2025-11-09 00:51:59.573 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-11-09 00:52:00.307 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-11-09 00:52:00.313 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-11-09 00:52:00.313 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-11-09 00:52:00.313 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-11-09 00:52:00.333 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-11-09 00:52:00.334 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 740 ms
2025-11-09 00:52:00.844 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint beneath base path '/actuator'
2025-11-09 00:52:00.872 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-11-09 00:52:00.881 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-11-09 00:52:00.890 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.492 seconds (process running for 3.038)
2025-11-09 00:52:05.782 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-09 00:52:05.783 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-11-09 00:52:05.784 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 0 ms
2025-11-09 00:52:05.835 [http-nio-8080-exec-2] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：2 已经存储到localthread
2025-11-09 00:52:05.835 [http-nio-8080-exec-1] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：2 已经存储到localthread
2025-11-09 00:52:05.866 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
